hash,filename,object,score,decision
576d6a6ba129351e04f03e83324ab3dc1f1a3576a6fb56a14341db16180f7b34e4203e8e7ba179f3918aff2c74a0e2c737d31f467df6f48e93748a78bd405884,setup.py,lDLpKASDChtXaGQnafxvZpjHAzIUSydAhiyVbUZtiNVQTuReZSQFrCafWJSUwfviUrhtiQFXIOChOJYdWDREUCRoEPvq,1.0,suspicious
71f5874ea941ff76fa99deffda49f406c39cb2ebb638eba0c3b5c65ddbd3b7119848d9b33001c2c33f3571a8d3642d0695c40978498a4bc74c9d8e99fd1cfc25,setup.py,<module>,0.999,benign
9a9aa6aba8f56eac140b39583983e3629de40cd4a466fb03af9c329d70f9061bacd41066d0ff1c88d23283eade37e0db1e55a0b00c6c1e37964a3f3e7c49ff5c,frequest.py,<module>,0.993,benign
8a723a07e7eee263196fde3efc53345a8bb98f6eeb57ddb393daa15141eaaf09bf96498180aa7bbef07e52879d1377a65de192757362288cd234f60c3a873483,frequest.py,execute,0.985,suspicious
06d109db0a7905629a177f78ae9676e669ecc4100730bcc76d01c06ae826562e8d297b693887c117f20d1e2f1dea84679a67bc2d5e27c1c9acdf83795643bb0d,frequest.py,get,0.754,suspicious
d9ea70bc7f84d89ef22f6dc1ebbdfd7af58d6ffdad4691c3dd547f9f59f1e317ad4b6572924ebdf639d557ebce616ba12ead5042df14f2923ffd8a73ce256bbb,frequest.py,post,0.19,suspicious
a52dfa580ee0ff01f64855a10a65f8d093e15a56d2d7a8a6b2d8e8cd367ccebdbf424b61213d03bd1f28fc6fd601622cbeccbe2969abb88c9e899e3deedd5c0d,frequest.py,put,0.028,suspicious
854f0b38f31e57a864cb51825bd3f8ea814abbafd74d16e3eabc0b6457742d62aaafbc110c15c72537f8c48b702978078a69c6254051568425eb7017f2f69ea4,frequest.py,patch,0.055,suspicious
9214850a340d438fe4b948fb7ddeac761349775e057b7b54c425984b1318431cc9dce480ab1e5be26f5f2a1698600de2078b2453085c5133eba79b8aaca20527,frequest.py,delete,0.969,suspicious
249e96d39605f335486f5b47aec607b8caf3c273207a7a6648f4eb6cea3553f4edba4afc5addf1cf3a3fa7c598decbbf73a66993edd389774e2a2695fe9bd9ed,frequest.py,head,0.921,suspicious
2a792d32bd031e5709f98fe0f8aff3f8c113a9faa843d0e09cc2eca8bc3c5a32e08c367f3bdec31f341c417dbe4b8230d2b6b09c0834fd7d7b05241719ffbc44,frequest.py,options,0.926,suspicious
